,index,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Player,Team within selected timeframe,Minutes played,Players
0,0,5.7142857142857135,4.766326214794182,25.0,2.7086383601756947,14.862994741212296,69.73943939992104,35.6717405691595,28.197456993268517,49.885243688402866,22.5769669327252,56.199999999999996,8.917197452229297,10.386965376782078,28.488372093023255,32.70509977827051,54.329210275927686,22.95918367346939,33.333333333333336,19.54022988505747,0.0,0.0,1.9496344435418331,6.9306930693069315,6.666666666666668,7.368421052631581,5.376344086021506,11.111111111111109,5.1724137931034475,6.040268456375839,7.093821510297485,33.32999999999999,22.222,19.444444444444446,1.7135862913096673,50.0,0.8750000000000008,50.000000000000014,0.9067357512953378,49.99999999999999,1.89873417721519,1.01522842639594,50.0,3.0975303474257045,50.0,6.788511749347258,26.69322709163346,0.0,77.17830754217202,6.469500924214418,6.46651270207852,78.44797178130511,94.20821114369501,69.84176233322991,85.10930840093496,14.831038798498122,94.85,83.47089487402258,95.83819525476471,75.71134519917666,97.91391602851864,38.08353808353808,61.19,54.46584938704028,75.79966329966331,1.9230769230769211,5.762711864406782,0.0,35.714285714285715,0.7500000000000009,0.0,6.493506493506493,74.64788732394366,85.13592346283983,5.299860529986054,18.179999999999996,10.440835266821349,46.150000000000006,2.409638554216867,2.3809523809523814,60.669730794484565,79.71065219927664,,,,,,,,,,,44.78527607361962,,,0.0,0.0,0.0,0.0,0.0,0.0,Rúben Dias,Manchester City,2594,Rúben Dias (Manchester City)
1,1,8.57142857142857,7.211389662643144,6.25,5.417276720351391,20.95211735399945,82.3726806158705,44.1429516876241,34.031413612565444,62.10341568786284,30.900798175598627,61.85263157894737,7.006369426751589,5.9063136456211796,32.55813953488372,36.696230598669615,42.530922930542346,23.979591836734695,20.0,10.344827586206895,33.333333333333336,12.5,4.874086108854589,8.91089108910891,10.0,9.473684210526317,7.526881720430109,22.222222222222218,10.344827586206899,12.080536912751677,12.814645308924485,55.55999999999999,16.667,4.166666666666666,1.9583843329253343,40.00000000000001,0.75,50.000000000000014,1.1658031088082907,33.32999999999999,1.89873417721519,2.9731689630166787,53.849999999999994,3.01381331100879,35.709999999999994,13.054830287206265,5.843293492695882,1.363636363636365,44.77903248292206,14.417744916820704,11.547344110854501,49.606114050558496,86.5347018572825,50.35681042506982,74.01347449470644,10.826032540675845,88.50000000000003,50.80364900086881,97.95799299883315,46.22835694393995,93.58331132822816,36.44553644553644,54.230000000000004,59.07764156450671,78.11447811447812,3.846153846153846,5.4237288135593245,0.0,0.0,0.7500000000000009,0.0,3.896103896103896,28.873239436619713,69.16345817290865,4.881450488145048,45.45,5.800464037122972,37.5,3.855421686746987,2.0408163265306114,41.03742613263296,67.77505541943763,,,,,,,,,,,30.061349693251532,,,0.0,0.0,0.0,0.0,0.0,0.0,M. de Ligt,Juventus,2869,M. de Ligt (Juventus)
2,2,14.285714285714285,11.420612813370475,0.0,1.6837481698389458,8.358704677553279,72.10817212791156,46.790205162144275,26.925953627524308,57.41865802619143,15.450399087799314,53.72631578947369,0.955414012738854,0.8146639511201618,30.813953488372096,52.54988913525498,69.45765937202665,4.591836734693879,33.333333333333336,17.241379310344826,0.0,0.0,3.5743298131600314,14.85148514851485,16.666666666666664,15.789473684210527,11.827956989247314,33.333333333333336,15.517241379310345,13.422818791946309,13.501144164759724,39.99999999999999,25.0,0.0,2.570379436964502,28.57,0.375,0.0,2.33160621761658,33.32999999999999,0.0,1.522842639593908,28.570000000000007,3.3068229384679793,43.75,12.010443864229762,12.616201859229745,3.4090909090909096,68.89725358985082,9.796672828096119,6.9284064665127,70.57025279247502,92.61974584555232,62.89171579273969,81.91942802144918,12.453066332916144,90.10000000000002,77.10686359687229,95.6242707117853,67.05412277515438,99.18141008714021,41.44144144144144,53.22,58.66900175131347,90.00420875420876,1.9230769230769211,4.067796610169492,7.6923076923076925,0.0,2.2499999999999987,100.0,1.948051948051947,48.943661971830984,77.62221444405554,11.576011157601117,39.28999999999999,25.290023201856155,37.84,7.951807228915659,3.061224489795919,51.14904793171373,68.18340917045853,,,,,,,,,,,27.198364008179958,,,0.0,0.0,0.0,0.0,0.0,0.0,Marquinhos,PSG,3044,Marquinhos (PSG)
3,3,8.57142857142857,9.501702259362427,0.0,4.758418740849195,18.79324660946582,71.00276352151599,42.554599602911985,34.62976813762155,55.66356149588226,18.529076396807294,47.242105263157896,6.050955414012737,5.295315682281059,32.55813953488372,36.696230598669615,45.29019980970505,27.806122448979597,20.0,9.195402298850572,0.0,0.0,7.554833468724614,7.920792079207921,10.0,8.421052631578947,8.60215053763441,33.333333333333336,13.793103448275865,14.765100671140937,13.501144164759724,36.35999999999999,13.636000000000001,0.0,1.3463892288861685,50.0,0.0,0.0,1.424870466321244,49.99999999999999,1.89873417721519,6.598984771573605,64.71,8.371703641691086,53.08999999999999,12.532637075718014,12.749003984063744,9.090909090909092,52.1539104976997,24.584103512014792,14.780600461893762,54.00352733686068,92.37536656891496,46.16816630468507,84.17434346212016,28.5982478097622,94.02499999999999,50.30408340573415,94.04900816802804,53.33575493401138,94.11143385265385,19.41031941031941,60.67,47.46059544658494,68.91835016835017,3.846153846153846,5.4237288135593245,7.6923076923076925,28.57142857142857,3.25,60.0,1.948051948051947,26.69014084507042,80.93571345233927,7.391910739191075,54.99999999999999,8.584686774941998,35.709999999999994,9.638554216867467,1.7006802721088417,29.809586342744588,66.21164391552912,,,,,,,,,,,46.83026584867075,,,0.0,0.0,0.0,0.0,0.0,0.0,M. Škriniar,Internazionale,3378,M. Škriniar (Internazionale)
4,4,0.0,2.135561745589601,0.0,0.0,25.76805978411293,91.72917489143305,63.13699536730644,43.23111443530291,59.497772377480764,29.30444697833523,71.05263157894737,21.019108280254773,17.92260692464358,15.116279069767444,55.210643015521065,63.6536631779258,23.469387755102044,13.333333333333334,29.885057471264364,0.0,0.0,5.361494719740048,0.0,0.0,0.0,9.67741935483871,0.0,0.0,2.0134228187919456,9.153318077803203,33.32999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.786076867295142,80.00000000000001,9.79489326077857,68.42,8.616187989556137,26.29482071713147,15.0,60.56043496445,9.796672828096119,21.247113163972283,65.03233392122281,87.12121212121214,52.90102389078499,68.66492506531003,16.020025031289112,90.75,72.89313640312771,97.95799299883315,63.22799370383824,91.55003960918933,30.22113022113022,46.43000000000001,53.998832457676585,85.90067340067341,0.0,0.0,0.0,0.0,3.25,0.0,0.0,35.07042253521126,73.74868743437173,5.57880055788006,0.0,6.032482598607891,0.0,0.0,0.0,38.41103086014446,52.82930813207328,,,,,,,,,,,51.12474437627811,,,0.0,0.0,0.0,0.0,0.0,0.0,W. Fofana,Leicester City,683,W. Fofana (Leicester City)
5,5,5.7142857142857135,4.085422469823585,6.25,9.077598828696926,23.969000830334906,70.0947493091196,45.731303772336204,26.103216155572174,59.40326717969489,26.51083238312429,63.5578947368421,5.732484076433119,5.7026476578411405,29.651162790697676,49.22394678492239,66.9838249286394,10.714285714285715,13.333333333333334,6.89655172413793,66.66666666666666,24.999999999999993,11.697806661251013,5.9405940594059405,6.666666666666668,6.315789473684211,4.301075268817205,11.111111111111109,5.1724137931034475,7.3825503355704685,7.551487414187644,27.269999999999996,18.182,4.166666666666666,6.97674418604651,42.11,0.0,0.0,7.383419689119171,42.11,7.59493670886076,12.617839013778099,58.62,13.562159899539559,51.33,14.099216710182766,20.717131474103585,12.954545454545451,54.95608531994981,26.062846580406656,18.706697459584294,61.56378600823046,84.55522971652002,71.95159789016442,78.34456207892204,18.773466833541924,88.725,50.347523892267596,93.64060676779464,56.95604794769342,89.78082915236337,43.81654381654381,63.47999999999999,53.998832457676585,80.09259259259261,7.692307692307692,10.16949152542373,0.0,21.428571428571423,4.5,49.99999999999999,11.688311688311687,41.76056338028168,76.32714969081789,11.715481171548117,57.13999999999999,13.225058004640374,42.11,10.843373493975902,8.16326530612245,55.21996060407092,68.32341617080854,,,,,,,,,,,43.55828220858894,,,0.0,0.0,0.0,0.0,0.0,0.0,J. Koundé,Sevilla,2993,J. Koundé (Sevilla)
6,6,2.8571428571428568,1.2999071494893222,18.75,11.200585651537336,27.318018267367844,72.75957362810895,50.69490403706155,43.82946896035901,52.74740110706089,16.98973774230331,62.65263157894738,4.777070063694266,4.2769857433808545,32.55813953488372,43.23725055432372,54.23406279733588,28.31632653061225,26.666666666666668,17.241379310344826,0.0,0.0,10.804224207961006,3.9603960396039604,3.3333333333333335,4.210526315789473,2.1505376344086025,0.0,0.0,5.369127516778522,6.864988558352405,37.49999999999999,12.5,15.277777777777777,12.239902080783354,25.930000000000003,12.5,25.930000000000003,0.0,0.0,13.924050632911392,9.644670050761421,58.330000000000005,12.34826287149435,48.81,6.266318537859007,19.256308100929612,10.0,58.399553882615365,32.90203327171904,22.170900692840643,63.48030570252793,85.55718475073314,64.31895749301893,79.71951051835556,30.350438047559447,87.35000000000001,50.82536924413553,90.91793076623884,57.62198813415667,92.42144177449173,50.04095004095004,67.27,50.963222416812606,76.40993265993266,11.538461538461537,14.915254237288138,10.256410256410257,53.571428571428555,8.25,55.55999999999999,16.883116883116887,46.197183098591545,81.07572045268931,25.80195258019526,41.99999999999999,23.201856148491885,33.33,16.867469879518065,6.462585034013606,53.70978332239002,73.62034768405087,,,,,,,,,,,34.76482617586912,,,0.0,0.0,0.0,1.2867647058823533,0.0,0.0,A. Bastoni,Internazionale,2429,A. Bastoni (Internazionale)
7,7,2.8571428571428568,10.46115753636645,0.0,5.490483162518302,24.494879601439248,77.53651796288983,54.93050959629385,35.0037397157816,58.62022411232617,24.401368301026228,66.45263157894738,8.917197452229297,8.146639511201629,30.232558139534888,54.767184035476724,69.267364414843,25.25510204081633,33.333333333333336,16.091954022988507,0.0,0.0,6.255077173030056,2.9702970297029707,3.3333333333333335,3.1578947368421053,9.67741935483871,11.111111111111109,5.1724137931034475,19.463087248322147,18.306636155606405,31.029999999999998,3.4480000000000004,0.0,3.6719706242350054,18.180000000000003,0.375,0.0,3.626943005181348,20.0,1.89873417721519,5.583756345177664,50.0,9.041439933026373,51.18999999999999,12.271540469973887,12.483399734395748,6.8181818181818175,47.42785445420324,10.720887245841036,24.249422632794456,50.699588477366255,83.57771260997067,48.060812907229284,73.33974975938402,9.824780976220273,81.175,50.45612510860121,91.05406456631663,46.797433103281264,90.44098230789545,39.06633906633906,57.8,59.48628137769993,98.65319865319866,3.846153846153846,5.762711864406782,0.0,21.428571428571423,2.000000000000001,100.0,3.896103896103896,40.492957746478865,71.76525492941315,10.320781032078106,37.03999999999999,13.457076566125291,33.33,6.7469879518072275,2.721088435374149,43.59816152330926,57.111188892777975,,,,,,,,,,,26.58486707566462,,,0.0,0.0,0.0,0.0,0.0,0.0,Éder Militão,Real Madrid,3262,Éder Militão (Real Madrid)
8,8,11.428571428571427,6.530485917672547,0.0,6.36896046852123,20.592305563243844,80.83300434267665,50.89344804765058,39.71578160059836,63.03496692318078,21.265678449258836,68.51578947368422,5.732484076433119,6.517311608961303,38.37209302325582,42.017738359201765,65.3663177925785,22.19387755102041,40.0,25.287356321839077,0.0,0.0,10.398050365556456,14.85148514851485,13.333333333333334,15.789473684210527,8.60215053763441,33.333333333333336,18.965517241379313,10.738255033557047,13.272311212814644,62.5,25.0,0.0,3.5495716034271716,75.0,1.3750000000000004,100.0,2.33160621761658,60.0,6.962025316455696,6.889050036258156,65.38,8.95772289660946,47.61999999999999,12.793733681462138,20.318725099601593,5.0,54.27296807472466,23.65988909426987,9.237875288683602,55.59082892416226,89.58944281524926,52.34253800806702,74.86594252715524,25.406758448060074,98.2,52.36750651607298,97.58848697005057,52.33079065262138,97.01610773699501,35.79033579033579,49.17000000000001,58.14360770577933,74.62121212121212,5.769230769230768,5.084745762711867,0.0,25.0,1.7499999999999998,100.0,7.1428571428571415,36.47887323943661,66.54999416637499,7.67085076708508,59.999999999999986,11.832946635730861,42.86000000000001,2.650602409638552,7.482993197278912,39.658568614576495,75.33543343833858,,,,,,,,,,,78.32310838445807,,,0.0,0.0,0.0,0.0,0.0,0.0,R. Araújo,Barcelona,2470,R. Araújo (Barcelona)
9,9,5.7142857142857135,6.499535747446612,12.5,9.443631039531478,41.32300027677831,80.43821555467824,76.43944407677036,54.599850411368735,55.78506817874983,19.27023945267959,60.61052631578947,28.34394904458598,24.84725050916497,20.348837209302324,65.74279379157427,78.30637488106565,36.98979591836735,46.666666666666664,28.735632183908038,0.0,0.0,20.714865962632004,6.9306930693069315,6.666666666666668,7.368421052631581,7.526881720430109,11.111111111111109,6.896551724137931,12.751677852348992,15.331807780320366,31.58,10.526,9.722222222222223,5.630354957160341,23.08,5.75,23.08,0.0,0.0,4.4303797468354436,21.319796954314718,69.88,22.60359983256593,64.33,11.096605744125325,24.03718459495352,19.318181818181817,64.50578558483201,13.67837338262477,27.713625866050805,72.36919459141683,73.09384164222872,100.0,70.74109720885467,22.340425531914892,80.625,45.06950477845352,89.34266822248156,65.17738224966703,80.59149722735677,64.37346437346437,55.40999999999999,49.09515469935784,78.68265993265993,9.615384615384615,9.491525423728815,17.948717948717952,25.0,11.5,38.46,18.181818181818183,75.28169014084506,67.63504841908762,22.733612273361224,54.35,41.99535962877031,41.18,23.13253012048192,4.761904761904763,96.58568614576495,70.35351767588381,,,,,,,,,,,33.94683026584867,,,0.0,0.0,0.0,0.0,0.0,0.0,J. Gvardiol,RB Leipzig,2542,J. Gvardiol (RB Leipzig)
